Date,CA,TX,FL,NY,PA
2018-01-31,1785.0436895339838,1054.8359993213899,1253.7356107757712,1187.5620023979463,947.865289767446
2018-02-28,1795.0468514118475,1059.11087631145,1259.3113145723057,1191.7700247855491,954.816762143515
2018-03-31,1806.310733736995,1063.5506888894236,1262.566158912333,1195.3958585038556,973.9867585963608
2018-04-30,1822.3584660685744,1067.3254105337573,1268.2457213476755,1164.1465911951234,951.5176649323113
2018-05-31,1833.5604605012456,1074.280486456528,1276.8011371697482,1169.8917376938211,956.2688608690455
2018-06-30,1846.9304066788754,1082.5281173483638,1280.9185053231438,1182.4447521404627,958.4044662465601
2018-07-31,1852.47271968423,1087.8500989667216,1286.0231186433377,1187.69694413965,960.0515684176256
2018-08-31,1857.6536767576304,1090.6525253890998,1288.680758276086,1195.7225257487867,960.1955817861543
2018-09-30,1859.7422500562018,1090.5703738715608,1294.6536181181723,1191.6595568474286,960.5383461960554
2018-10-31,1861.1479427461984,1089.7968460800619,1305.1928625136322,1188.3305395324073,961.3450923004311
2018-11-30,1861.1646671128017,1089.6721711046905,1319.26060434909,1188.1529409197506,963.8568912492117
2018-12-31,1863.7724821712088,1092.928409246922,1326.2348419634084,1185.4439906037067,965.9407406998769
2019-01-31,1868.0913802945006,1097.8380351076971,1326.8820272813866,1230.8037625944999,968.5719357506362
2019-02-28,1877.0049287095296,1103.5311151283393,1332.3249047625404,1229.8847652805464,972.4856122901879
2019-03-31,1887.4597140667759,1113.0545413964526,1336.627707340661,1237.6410451550003,981.4051877919535
2019-04-30,1898.8502391384252,1116.3552402745263,1343.2427416377316,1248.4664929610271,988.220055466655
2019-05-31,1912.81047625922,1121.862044297285,1345.8103972248125,1259.0061877388055,994.151832524203
2019-06-30,1924.536639678345,1125.6519014436785,1351.4891285999709,1263.9865636616817,994.9980206987861
2019-07-31,1935.1392365399,1128.1606525850243,1358.8358781125307,1267.0631410841834,999.0791225224901
2019-08-31,1938.9250135355426,1127.9885087281789,1366.9526315095284,1271.211572776456,999.999054769967
2019-09-30,1939.2281370784542,1125.2725720621527,1375.8532977791924,1277.4563257384243,1001.9589843145194
2019-10-31,1937.8132566666338,1122.8758054386342,1384.0788488692087,1280.2345972391604,1001.1474150918058
2019-11-30,1937.624485724292,1120.3630106762405,1387.7576132998,1279.7353797715566,1002.9594483442216
2019-12-31,1940.2376528146879,1119.0685808747073,1391.554757952101,1277.3233300962495,1004.3489244836807
2020-01-31,1947.4425714023125,1122.613522115195,1390.3175072462411,1279.377699729831,1007.2429110748819
2020-02-29,1956.7669627310834,1131.1268627714878,1393.4623917464853,1288.1965797439127,1012.3997881562307
2020-03-31,1964.2145103916866,1137.3045565126015,1395.1873674528738,1297.5210691332543,1019.2560506535311
2020-04-30,1963.3447587418775,1137.028692963813,1394.1443380931462,1298.4802794887873,1022.6057272747702
2020-05-31,1963.0394899039115,1130.7830178728093,1393.893666357094,1298.9008191170642,1024.3893062441825
2020-06-30,1965.8295848689472,1128.5171016857366,1395.6930452599902,1302.4971025729685,1029.5098223997504
2020-07-31,1973.5492487846445,1129.2873867253913,1408.8031221031983,1313.1770226221806,1038.0702433987124
2020-08-31,1974.2599674116123,1133.714091722458,1423.9665991935378,1208.4800727925729,1030.1375286158993
2020-09-30,1953.1208271390383,1136.443210459665,1440.6628092455337,1253.2772929798382,1049.9738714366906
2020-10-31,2002.9687442568356,1140.9706411898305,1457.4816372951261,1342.4643005944306,1045.7118645663652
2020-11-30,2013.4094185830945,1144.1273262965167,1471.3748444776136,1345.2851118789138,1055.6447006322805
2020-12-31,2024.8034597044762,1146.9119656593737,1481.1723605505858,1341.783697128957,1058.3035300785784
2021-01-31,2029.710954116525,1149.8658718993,1485.1109439458376,1345.6476237108682,1059.9070443931325
2021-02-28,2038.8808823132385,1156.0134043872415,1495.8932412959255,1346.0166709963307,1059.868909588313
2021-03-31,2054.6269670239694,1164.8503101902222,1513.912392253698,1356.9991006244422,1072.615775595167
2021-04-30,2077.0210489226934,1177.4215903489842,1548.2370964118722,1370.1028769023314,1084.7647684796123
2021-05-31,2110.974582099815,1189.7573170805858,1570.9869020447784,1394.2479612150748,1102.9521997486902
2021-06-30,2143.146179928073,1205.2644072697472,1587.143300365279,1413.1281618602802,1120.5426409735728
2021-07-31,2181.597005629512,1223.0847194559462,1637.8403715372883,1436.3163321428829,1132.6699759159646
2021-08-31,2216.1030248901875,1236.9416941393758,1705.2419281410678,1456.2414765609633,1145.0951663119572
2021-09-30,2246.559359747079,1247.5831129871976,1748.5422560219858,1472.1212328992851,1129.0632575038758
2021-10-31,2240.5767420072916,1255.8733132611385,1781.0899492122473,1486.6520492958657,1158.329180425482
2021-11-30,2252.209380827167,1265.106121494939,1812.2406233217373,1486.8748596216265,1165.2628860988855
2021-12-31,2238.692434113432,1271.5094269645026,1832.5297905461944,1497.5602171798591,1173.3191317152437
2022-01-31,2253.3557752482584,1257.1436394096343,1851.179129555799,1514.2056949282503,1154.0665753128485
2022-02-28,2263.7893899836345,1267.599700297512,1853.2923250837393,1534.4002240407117,1158.4159418442548
2022-03-31,2282.636713290205,1275.878482530283,1872.284889054956,1564.3220261767249,1169.9900106161888
2022-04-30,2279.982718853567,1291.1545209424162,1893.873427640454,1587.0271522559894,1182.828457864909
2022-05-31,2259.5237221429884,1302.0041153240688,1920.1260737981872,1602.408698267577,1199.4048136174702
2022-06-30,2280.777040351615,1318.3232805502996,1946.162702344656,1608.714387031332,1210.2739469347
2022-07-31,2292.838951174247,1329.0878312131042,1964.3184638979978,1614.9891989208024,1226.9837139037497
2022-08-31,2307.426077399837,1337.535153809297,1970.6214708171383,1625.9746601609886,1224.6675491137478
2022-09-30,2314.141206455601,1341.1037413699014,1977.9967771914637,1631.3363001556236,1226.4715999608252
2022-10-31,2313.1625418205613,1341.463348515977,1988.3755263341502,1627.1464351498344,1230.3061348341962
2022-11-30,2308.2218786498825,1331.6578216240912,2009.8564770649061,1622.57055857702,1228.4497522600068
2022-12-31,2301.290373559956,1332.103449457565,2026.116872266853,1583.5498658785252,1230.104056374195
2023-01-31,2306.5506384220726,1336.4836110082524,2033.7980596663767,1602.110234843179,1235.6845839341279
2023-02-28,2333.665947983943,1340.2308514068316,2038.897146697869,1574.5429914579058,1227.7613758120133
2023-03-31,2321.1283076782106,1347.3433260713807,2038.3454422315933,1585.3477774449334,1238.9636133620045
2023-04-30,2329.3610845947364,1356.5397755544825,2035.9238095129708,1596.101584062754,1248.9580842725393
2023-05-31,2299.4977537412656,1362.2434029827637,1980.8681741646674,1582.715658947618,1202.206732969736
2023-06-30,2313.4485507933523,1362.8731827334445,1988.0879283000418,1587.2290576059183,1210.6426425185145
2023-07-31,2327.7210871800858,1367.6865060746895,2023.280753193222,1604.2845780990376,1208.903268208769
2023-08-31,2333.7709079368237,1373.6159618587124,2002.3274764144007,1579.8258030819077,1211.0368256150518
2023-09-30,2340.4218657563683,1371.9928549668919,2027.0140585091121,1592.2090678293985,1215.8401222247076
2023-10-31,2341.45752079495,1358.9995511533307,2023.5915671937746,1553.872015756231,1216.9205175583309
2023-11-30,2307.7530185909563,1347.00375729418,2026.066371876614,1575.4626087950287,1213.630726405463
2023-12-31,2299.3436365143793,1356.073623741652,2027.7441502870442,1537.247403776367,1223.9981784655718
